Started parsing...
Finished parsing.
=== TestCase 1 ===
Makespan: 113

Schedule:
Subtask 1 (O1): ECU E1 Core 1, Start 4, Finish 9
Subtask 2 (O2): ECU E3 Core 2, Start 12, Finish 16
Subtask 3 (O3): ECU E2 Core 1, Start 8, Finish 11
Subtask 4 (O4): ECU E1 Core 1, Start 9, Finish 13
Subtask 5 (O5): ECU E4 Core 2, Start 13, Finish 23
Subtask 6 (O1): ECU E1 Core 1, Start 13, Finish 16
Subtask 7 (O2): ECU E2 Core 1, Start 11, Finish 19
Subtask 8 (O3): ECU E4 Core 1, Start 15, Finish 21
Subtask 9 (O4): ECU E1 Core 1, Start 21, Finish 25
Subtask 10 (O1): ECU E3 Core 1, Start 16, Finish 19
Subtask 11 (O2): ECU E2 Core 1, Start 19, Finish 24
Subtask 12 (O3): ECU E3 Core 2, Start 16, Finish 22
Subtask 13 (O4): ECU E3 Core 1, Start 24, Finish 28
Subtask 14 (O5): ECU E4 Core 1, Start 21, Finish 33
Subtask 15 (O6): ECU E3 Core 2, Start 22, Finish 25
Subtask 16 (O1): ECU E4 Core 2, Start 23, Finish 27
Subtask 17 (O2): ECU E3 Core 2, Start 25, Finish 29
Subtask 18 (O3): ECU E2 Core 1, Start 29, Finish 31
Subtask 19 (O4): ECU E1 Core 1, Start 31, Finish 39
Subtask 20 (O5): ECU E4 Core 2, Start 27, Finish 39
Subtask 21 (O6): ECU E2 Core 1, Start 31, Finish 37
Subtask 22 (O1): ECU E2 Core 1, Start 37, Finish 41
Subtask 23 (O2): ECU E3 Core 1, Start 28, Finish 30
Subtask 24 (O3): ECU E3 Core 2, Start 41, Finish 45
Subtask 25 (O4): ECU E3 Core 1, Start 41, Finish 44
Subtask 26 (O1): ECU E4 Core 1, Start 33, Finish 45
Subtask 27 (O2): ECU E1 Core 1, Start 39, Finish 41
Subtask 28 (O3): ECU E4 Core 2, Start 39, Finish 51
Subtask 29 (O4): ECU E3 Core 1, Start 44, Finish 50
Subtask 30 (O5): ECU E1 Core 1, Start 51, Finish 55
Subtask 31 (O6): ECU E3 Core 2, Start 45, Finish 51
Subtask 32 (O1): ECU E2 Core 1, Start 41, Finish 45
Subtask 33 (O2): ECU E2 Core 1, Start 45, Finish 49
Subtask 34 (O3): ECU E4 Core 1, Start 49, Finish 52
Subtask 35 (O4): ECU E3 Core 1, Start 50, Finish 58
Subtask 36 (O1): ECU E3 Core 2, Start 51, Finish 56
Subtask 37 (O2): ECU E2 Core 1, Start 49, Finish 52
Subtask 38 (O3): ECU E4 Core 2, Start 51, Finish 59
Subtask 39 (O4): ECU E4 Core 1, Start 56, Finish 62
Subtask 40 (O5): ECU E2 Core 1, Start 52, Finish 57
Subtask 41 (O6): ECU E1 Core 1, Start 62, Finish 67
Subtask 42 (O1): ECU E2 Core 1, Start 57, Finish 61
Subtask 43 (O2): ECU E3 Core 2, Start 56, Finish 62
Subtask 44 (O3): ECU E3 Core 1, Start 61, Finish 67
Subtask 45 (O4): ECU E4 Core 2, Start 67, Finish 77
Subtask 46 (O5): ECU E2 Core 1, Start 62, Finish 67
Subtask 47 (O1): ECU E3 Core 2, Start 62, Finish 72
Subtask 48 (O2): ECU E2 Core 1, Start 67, Finish 77
Subtask 49 (O3): ECU E4 Core 1, Start 77, Finish 81
Subtask 50 (O4): ECU E3 Core 1, Start 67, Finish 71
Subtask 51 (O1): ECU E3 Core 1, Start 71, Finish 77
Subtask 52 (O2): ECU E3 Core 2, Start 77, Finish 87
Subtask 53 (O3): ECU E1 Core 1, Start 77, Finish 81
Subtask 54 (O4): ECU E3 Core 1, Start 87, Finish 91
Subtask 55 (O5): ECU E2 Core 1, Start 91, Finish 96
Subtask 56 (O1): ECU E4 Core 2, Start 77, Finish 81
Subtask 57 (O2): ECU E1 Core 1, Start 81, Finish 83
Subtask 58 (O3): ECU E4 Core 1, Start 81, Finish 84
Subtask 59 (O4): ECU E4 Core 2, Start 81, Finish 86
Subtask 60 (O5): ECU E4 Core 1, Start 84, Finish 90
Subtask 61 (O6): ECU E4 Core 2, Start 86, Finish 90
Subtask 62 (O1): ECU E2 Core 1, Start 0, Finish 8
Subtask 63 (O2): ECU E1 Core 1, Start 0, Finish 4
Subtask 64 (O3): ECU E3 Core 1, Start 4, Finish 16
Subtask 65 (O4): ECU E3 Core 2, Start 0, Finish 12
Subtask 66 (O5): ECU E4 Core 1, Start 12, Finish 15
Subtask 67 (O6): ECU E4 Core 2, Start 8, Finish 13
Subtask 68 (O1): ECU E3 Core 2, Start 87, Finish 99
Subtask 69 (O2): ECU E1 Core 1, Start 99, Finish 103
Subtask 70 (O3): ECU E2 Core 1, Start 96, Finish 102
Subtask 71 (O4): ECU E4 Core 1, Start 90, Finish 94
Subtask 72 (O5): ECU E4 Core 2, Start 90, Finish 96
Subtask 73 (O6): ECU E3 Core 1, Start 103, Finish 105
Subtask 74 (O1): ECU E4 Core 1, Start 94, Finish 99
Subtask 75 (O2): ECU E4 Core 2, Start 99, Finish 103
Subtask 76 (O3): ECU E3 Core 2, Start 99, Finish 105
Subtask 77 (O4): ECU E2 Core 1, Start 102, Finish 110
Subtask 78 (O5): ECU E4 Core 1, Start 99, Finish 101
Subtask 79 (O6): ECU E4 Core 1, Start 101, Finish 113
Load Imbalance: 113
Objective Function Value: 0.2110
Elapsed Time (this testcase): 0.02 seconds
Peak Memory Usage (this testcase): 0.040 MB
=== TestCase 2 ===
Makespan: 100

Schedule:
Subtask 1 (O1): ECU E2 Core 1, Start 12, Finish 14
Subtask 2 (O2): ECU E4 Core 1, Start 0, Finish 5
Subtask 3 (O3): ECU E4 Core 2, Start 0, Finish 6
Subtask 4 (O4): ECU E4 Core 1, Start 5, Finish 9
Subtask 5 (O5): ECU E4 Core 2, Start 14, Finish 20
Subtask 6 (O6): ECU E4 Core 1, Start 9, Finish 13
Subtask 7 (O1): ECU E2 Core 1, Start 14, Finish 18
Subtask 8 (O2): ECU E3 Core 1, Start 18, Finish 24
Subtask 9 (O3): ECU E4 Core 1, Start 13, Finish 18
Subtask 10 (O4): ECU E3 Core 2, Start 18, Finish 20
Subtask 11 (O5): ECU E2 Core 1, Start 18, Finish 22
Subtask 12 (O1): ECU E4 Core 1, Start 18, Finish 28
Subtask 13 (O2): ECU E3 Core 2, Start 20, Finish 23
Subtask 14 (O3): ECU E1 Core 1, Start 20, Finish 26
Subtask 15 (O4): ECU E4 Core 2, Start 20, Finish 24
Subtask 16 (O5): ECU E2 Core 1, Start 28, Finish 34
Subtask 17 (O6): ECU E3 Core 2, Start 23, Finish 25
Subtask 18 (O1): ECU E3 Core 1, Start 24, Finish 36
Subtask 19 (O2): ECU E4 Core 2, Start 24, Finish 30
Subtask 20 (O3): ECU E3 Core 2, Start 30, Finish 33
Subtask 21 (O4): ECU E4 Core 1, Start 28, Finish 31
Subtask 22 (O5): ECU E4 Core 2, Start 30, Finish 33
Subtask 23 (O6): ECU E4 Core 1, Start 36, Finish 40
Subtask 24 (O1): ECU E2 Core 1, Start 0, Finish 12
Subtask 25 (O2): ECU E3 Core 1, Start 0, Finish 12
Subtask 26 (O3): ECU E1 Core 1, Start 26, Finish 31
Subtask 27 (O4): ECU E1 Core 1, Start 12, Finish 20
Subtask 28 (O5): ECU E3 Core 2, Start 12, Finish 18
Subtask 29 (O1): ECU E3 Core 2, Start 33, Finish 38
Subtask 30 (O2): ECU E4 Core 2, Start 33, Finish 39
Subtask 31 (O3): ECU E3 Core 1, Start 36, Finish 42
Subtask 32 (O4): ECU E2 Core 1, Start 34, Finish 40
Subtask 33 (O5): ECU E1 Core 1, Start 31, Finish 35
Subtask 34 (O6): ECU E3 Core 2, Start 42, Finish 46
Subtask 35 (O1): ECU E4 Core 2, Start 39, Finish 43
Subtask 36 (O2): ECU E4 Core 1, Start 43, Finish 47
