Started parsing...
Finished parsing.
=== TestCase 1 ===
Makespan: 191

Schedule:
Subtask 1 (O1): ECU E2 Core 1, Start 6, Finish 18
Subtask 2 (O2): ECU E3 Core 1, Start 10, Finish 14
Subtask 3 (O3): ECU E4 Core 2, Start 18, Finish 30
Subtask 4 (O4): ECU E3 Core 1, Start 14, Finish 22
Subtask 5 (O1): ECU E2 Core 1, Start 18, Finish 26
Subtask 6 (O2): ECU E1 Core 1, Start 26, Finish 32
Subtask 7 (O3): ECU E3 Core 2, Start 20, Finish 26
Subtask 8 (O4): ECU E3 Core 1, Start 22, Finish 27
Subtask 9 (O5): ECU E2 Core 1, Start 32, Finish 40
Subtask 10 (O6): ECU E3 Core 2, Start 27, Finish 39
Subtask 11 (O1): ECU E3 Core 1, Start 27, Finish 33
Subtask 12 (O2): ECU E1 Core 1, Start 32, Finish 34
Subtask 13 (O3): ECU E4 Core 2, Start 30, Finish 36
Subtask 14 (O4): ECU E4 Core 1, Start 36, Finish 39
Subtask 15 (O5): ECU E3 Core 1, Start 39, Finish 51
Subtask 16 (O6): ECU E1 Core 1, Start 51, Finish 55
Subtask 17 (O1): ECU E4 Core 2, Start 36, Finish 38
Subtask 18 (O2): ECU E2 Core 1, Start 40, Finish 50
Subtask 19 (O3): ECU E4 Core 2, Start 50, Finish 53
Subtask 20 (O4): ECU E3 Core 2, Start 50, Finish 52
Subtask 21 (O5): ECU E4 Core 1, Start 39, Finish 41
Subtask 22 (O6): ECU E4 Core 1, Start 50, Finish 52
Subtask 23 (O1): ECU E2 Core 1, Start 50, Finish 55
Subtask 24 (O2): ECU E3 Core 1, Start 55, Finish 58
Subtask 25 (O3): ECU E3 Core 2, Start 52, Finish 60
Subtask 26 (O4): ECU E4 Core 1, Start 55, Finish 59
Subtask 27 (O5): ECU E4 Core 2, Start 53, Finish 61
Subtask 28 (O6): ECU E3 Core 1, Start 60, Finish 64
Subtask 29 (O1): ECU E1 Core 1, Start 55, Finish 57
Subtask 30 (O2): ECU E2 Core 1, Start 55, Finish 60
Subtask 31 (O3): ECU E1 Core 1, Start 57, Finish 61
Subtask 32 (O4): ECU E4 Core 1, Start 59, Finish 61
Subtask 33 (O5): ECU E2 Core 1, Start 60, Finish 65
Subtask 34 (O1): ECU E3 Core 2, Start 60, Finish 70
Subtask 35 (O2): ECU E4 Core 1, Start 61, Finish 63
Subtask 36 (O3): ECU E4 Core 2, Start 70, Finish 82
Subtask 37 (O4): ECU E1 Core 1, Start 61, Finish 63
Subtask 38 (O1): ECU E1 Core 1, Start 63, Finish 68
Subtask 39 (O2): ECU E4 Core 1, Start 63, Finish 71
Subtask 40 (O3): ECU E2 Core 1, Start 65, Finish 69
Subtask 41 (O4): ECU E1 Core 1, Start 69, Finish 79
Subtask 42 (O1): ECU E3 Core 1, Start 64, Finish 76
Subtask 43 (O2): ECU E3 Core 2, Start 70, Finish 74
Subtask 44 (O3): ECU E4 Core 1, Start 76, Finish 84
Subtask 45 (O4): ECU E3 Core 2, Start 84, Finish 94
Subtask 46 (O5): ECU E2 Core 1, Start 76, Finish 82
Subtask 47 (O6): ECU E1 Core 1, Start 79, Finish 85
Subtask 48 (O1): ECU E2 Core 1, Start 82, Finish 86
Subtask 49 (O2): ECU E3 Core 1, Start 76, Finish 79
Subtask 50 (O3): ECU E3 Core 1, Start 79, Finish 84
Subtask 51 (O4): ECU E4 Core 2, Start 82, Finish 92
Subtask 52 (O5): ECU E3 Core 1, Start 92, Finish 104
Subtask 53 (O6): ECU E4 Core 1, Start 84, Finish 92
Subtask 54 (O1): ECU E1 Core 1, Start 85, Finish 88
Subtask 55 (O2): ECU E2 Core 1, Start 86, Finish 89
Subtask 56 (O3): ECU E1 Core 1, Start 89, Finish 94
Subtask 57 (O4): ECU E2 Core 1, Start 89, Finish 94
Subtask 58 (O5): ECU E4 Core 1, Start 92, Finish 96
Subtask 59 (O1): ECU E2 Core 1, Start 0, Finish 6
Subtask 60 (O2): ECU E4 Core 2, Start 92, Finish 100
Subtask 61 (O3): ECU E3 Core 1, Start 0, Finish 10
Subtask 62 (O4): ECU E1 Core 1, Start 10, Finish 20
Subtask 62 (O4): ECU E3 Core 2, Start 10, Finish 20
Subtask 63 (O5): ECU E4 Core 1, Start 20, Finish 32
Subtask 64 (O6): ECU E4 Core 2, Start 10, Finish 13
Subtask 65 (O1): ECU E2 Core 1, Start 94, Finish 99
Subtask 66 (O2): ECU E3 Core 2, Start 94, Finish 104
Subtask 67 (O3): ECU E4 Core 1, Start 96, Finish 100
Subtask 68 (O4): ECU E1 Core 1, Start 104, Finish 107
Subtask 69 (O5): ECU E4 Core 1, Start 104, Finish 108
Subtask 70 (O1): ECU E4 Core 2, Start 100, Finish 106
Subtask 71 (O2): ECU E2 Core 1, Start 99, Finish 103
Subtask 72 (O3): ECU E2 Core 1, Start 103, Finish 106
Subtask 73 (O4): ECU E3 Core 1, Start 104, Finish 107
Subtask 74 (O1): ECU E3 Core 2, Start 104, Finish 108
Subtask 75 (O2): ECU E2 Core 1, Start 106, Finish 114
Subtask 76 (O3): ECU E4 Core 2, Start 114, Finish 120
Subtask 77 (O4): ECU E1 Core 1, Start 120, Finish 124
Subtask 78 (O1): ECU E2 Core 1, Start 114, Finish 118
