Started parsing...
Finished parsing.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
No improvement for 10 generations, stopping early.
=== TestCase 1 ===
Makespan: 126

Schedule:
Subtask 1 (O1): ECU E4 Core 2, Start 65, Finish 69
Subtask 2 (O2): ECU E2 Core 1, Start 5, Finish 17
Subtask 3 (O3): ECU E3 Core 1, Start 0, Finish 4
Subtask 4 (O4): ECU E2 Core 1, Start 69, Finish 81
Subtask 5 (O1): ECU E4 Core 2, Start 40, Finish 50
Subtask 6 (O2): ECU E1 Core 1, Start 16, Finish 22
Subtask 7 (O3): ECU E4 Core 1, Start 58, Finish 62
Subtask 8 (O4): ECU E4 Core 2, Start 0, Finish 6
Subtask 9 (O5): ECU E2 Core 2, Start 75, Finish 81
Subtask 10 (O1): ECU E3 Core 1, Start 26, Finish 30
Subtask 11 (O2): ECU E2 Core 1, Start 81, Finish 84
Subtask 12 (O3): ECU E3 Core 1, Start 42, Finish 48
Subtask 13 (O4): ECU E3 Core 1, Start 4, Finish 10
Subtask 14 (O5): ECU E1 Core 1, Start 22, Finish 28
Subtask 15 (O1): ECU E1 Core 1, Start 28, Finish 32
Subtask 16 (O2): ECU E4 Core 2, Start 6, Finish 18
Subtask 17 (O3): ECU E4 Core 2, Start 50, Finish 52
Subtask 18 (O4): ECU E4 Core 2, Start 52, Finish 57
Subtask 19 (O5): ECU E3 Core 1, Start 57, Finish 63
Subtask 20 (O1): ECU E1 Core 1, Start 87, Finish 93
Subtask 21 (O2): ECU E4 Core 2, Start 18, Finish 24
Subtask 22 (O3): ECU E3 Core 2, Start 14, Finish 18
Subtask 23 (O4): ECU E1 Core 1, Start 0, Finish 10
Subtask 24 (O5): ECU E2 Core 2, Start 24, Finish 28
Subtask 25 (O6): ECU E3 Core 1, Start 63, Finish 65
Subtask 26 (O1): ECU E3 Core 2, Start 62, Finish 66
Subtask 27 (O2): ECU E1 Core 1, Start 32, Finish 37
Subtask 28 (O3): ECU E1 Core 1, Start 93, Finish 99
Subtask 29 (O4): ECU E4 Core 1, Start 0, Finish 6
Subtask 30 (O1): ECU E3 Core 1, Start 65, Finish 67
Subtask 31 (O2): ECU E1 Core 1, Start 37, Finish 41
Subtask 32 (O3): ECU E1 Core 1, Start 10, Finish 16
Subtask 33 (O4): ECU E1 Core 1, Start 41, Finish 43
Subtask 33 (O4): ECU E4 Core 1, Start 41, Finish 43
Subtask 34 (O5): ECU E2 Core 1, Start 84, Finish 90
Subtask 35 (O1): ECU E4 Core 1, Start 70, Finish 74
Subtask 36 (O2): ECU E3 Core 2, Start 66, Finish 70
Subtask 37 (O3): ECU E2 Core 2, Start 28, Finish 34
Subtask 38 (O4): ECU E3 Core 1, Start 10, Finish 20
Subtask 39 (O1): ECU E2 Core 2, Start 64, Finish 70
Subtask 40 (O2): ECU E2 Core 2, Start 0, Finish 5
Subtask 41 (O3): ECU E3 Core 2, Start 70, Finish 74
Subtask 42 (O4): ECU E2 Core 1, Start 17, Finish 20
Subtask 43 (O5): ECU E4 Core 2, Start 88, Finish 93
Subtask 44 (O6): ECU E4 Core 2, Start 69, Finish 72
Subtask 45 (O1): ECU E3 Core 1, Start 67, Finish 69
Subtask 46 (O2): ECU E2 Core 2, Start 34, Finish 44
Subtask 47 (O3): ECU E4 Core 2, Start 72, Finish 74
Subtask 48 (O4): ECU E3 Core 2, Start 90, Finish 94
Subtask 49 (O5): ECU E3 Core 2, Start 0, Finish 10
Subtask 50 (O6): ECU E4 Core 1, Start 94, Finish 98
Subtask 51 (O1): ECU E4 Core 1, Start 6, Finish 8
